Date,MSFT,AAPL,XOM,BP,SBUX
2/1/2000,-0.09085036,0.099681766,-0.095687368,-0.132867191,0.093177557
3/1/2000,0.172954241,0.169608777,0.046273181,0.130887342,0.243573511
4/1/2000,-0.420877134,-0.090489146,-0.00401403,-0.043171936,-0.393507412
5/1/2000,-0.10875152,-0.389968771,0.069903741,0.067520977,0.117380931
6/1/2000,0.245860602,0.220759763,-0.048643666,0.04268774,0.116147997
7/1/2000,-0.136213557,-0.030287153,0.021269301,-0.079215112,-0.018167828
8/1/2000,0,0.181706527,0.017959599,0.054633071,-0.023609746
9/1/2000,-0.146273964,-0.86141434,0.098452716,-0.036050659,0.089709579
10/1/2000,0.132754466,-0.27481976,0.000876057,-0.03969243,0.109252985
11/1/2000,-0.182685052,-0.170254449,-0.013404139,-0.071186244,0.019391712
12/1/2000,-0.279725579,-0.103678593,-0.002396255,0.01534554,-0.029229582
1/1/2001,0.342014968,0.37416822,-0.032589348,0.072988238,0.120916506
2/1/2001,-0.034360614,-0.16968458,-0.037534379,-0.037590673,-0.047414435
3/1/2001,-0.075902295,0.190053911,0.020358255,0.006780339,-0.115325134
4/1/2001,0.214189479,0.144066851,0.089682877,0.086070535,-0.092192985
5/1/2001,0.020887356,-0.245056812,0.001691792,-0.012840739,0.008746905
6/1/2001,0.053747418,0.153075817,-0.006044301,-0.062638446,0.164054754
7/1/2001,-0.097929746,-0.212980072,-0.044611538,-0.008663382,-0.242902485
8/1/2001,-0.148601382,-0.012855008,-0.039316218,0.029115277,-0.067054561
9/1/2001,-0.108775042,-0.178985594,-0.01326517,-0.027837456,-0.121495115
10/1/2001,0.127872913,0.124139009,0.001267559,-0.017024374,0.136205237
11/1/2001,0.099133232,0.193084079,-0.053363103,-0.090213621,0.034446828
12/1/2001,0.031275847,0.027778788,0.05539815,0.058299942,0.072373251
1/1/2002,-0.039093348,0.121126563,-0.006382035,0.004505224,0.221357282
2/1/2002,-0.088053751,-0.130300932,0.056019994,0.058809937,-0.032495474
3/1/2002,0.033210051,0.086896441,0.065383121,0.076333106,0.005201406
4/1/2002,-0.143266976,0.025032571,-0.087198122,-0.044280201,-0.013493094
5/1/2002,-0.026171933,-0.040787272,-0.00599257,0.00530097,0.062015608
6/1/2002,0.07180443,-0.273759888,0.030256098,-0.004823077,0.023204953
7/1/2002,-0.131079622,-0.149458773,-0.107208827,-0.08447549,-0.235799201
8/1/2002,0.022667515,-0.033992452,-0.03628658,0.008583718,0.023661139
9/1/2002,-0.11518856,-0.017093869,-0.09910798,-0.151760086,0.027479315
10/1/2002,0.200857759,0.102805923,0.05370402,-0.037017533,0.143165601
11/1/2002,0.075789813,-0.03611462,0.033307437,0.01957282,-0.092210807
